"pages";"major";"year"
486;"business administration";2010
187;"molecular cellular developmental biology and genetics";2009
263;"social work";2012
256;"communication studies";2013
193;"biochemistry molecular biology and biophysics";2012
211;"geophysics";2011
210;"chemical engineering";2013
140;"computer science";2013
88;"psychology";2012
110;"ecology evolution and behavior";2010
215;"microbiology immunology and cancer biology";2013
182;"geography";2009
120;"electrical engineering";2012
123;"business administration";2012
184;"epidemiology";2011
85;"electrical engineering";2010
215;"sociology";2013
205;"mechanical engineering";2011
287;"history";2012
147;"microbiology immunology and cancer biology";2012
102;"educational policy and administration";2011
136;"psychology";2012
127;"ecology evolution and behavior";2013
134;"kinesiology";2014
182;"education curriculum and instruction";2010
93;"economics";2013
291;"french";2010
102;"family social science";2013
115;"biostatistics";2012
189;"statistics";2008
186;"material science and engineering";2009
110;"teaching and learning";2011
124;"chemical engineering";2010
315;"hispanic and luso-brazilian literatures and linguistics";2009
244;"rehabilitation science";2009
120;"family social science";2008
111;"electrical engineering";2009
240;"biomedical engineering";2009
3385;"conservation biology";2011
417;"american studies";2009
325;"history";2010
157;"social work";2012
282;"material science and engineering";2009
71;"applied plant sciences";2008
144;"geology";2008
153;"epidemiology";2011
77;"political science";2009
214;"social work";2011
186;"educational policy and administration";2013
104;"applied economics";2013
343;"conservation biology";2009
104;"biochemistry molecular biology and biophysics";2011
153;"music";2009
143;"family social science";2009
178;"chemical engineering";2010
196;"political science";2009
165;"chemical engineering";2009
394;"entomology";2010
181;"conservation biology";2010
162;"microbiology immunology and cancer biology";2013
225;"chemistry";2011
240;"education curriculum and instruction";2013
192;"mechanical engineering";2010
167;"pharmacology";2009
218;"hispanic and luso-brazilian literatures and linguistics";2009
79;"electrical engineering";2008
152;"biochemistry molecular biology and biophysics";2011
76;"economics";2009
195;"teaching and learning";2012
115;"family social science";2009
116;"educational policy and administration";2012
210;"nursing";2012
178;"geology";2011
148;"educational policy and administration";2011
187;"nutrition";2009
112;"pharmacology";2009
227;"english";2012
200;"educational policy and administration";2011
83;"economics";2010
119;"neuroscience";2010
139;"work and human resource education";2011
179;"educational policy and administration";2011
168;"teaching and learning";2013
146;"mechanical engineering";2013
234;"microbiology immunology and cancer biology";2012
123;"chemical engineering";2012
139;"neuroscience";2011
161;"natural resources science and management";2012
193;"work and human resource education";2010
63;"mathematics";2010
143;"educational psychology";2009
278;"physics";2013
110;"educational psychology";2010
103;"economics";2012
96;"economics";2013
81;"physics";2011
241;"natural resources science and management";2012
144;"economics";2008
252;"chemical engineering";2012
223;"aerospace engineering and mechanics";2010
141;"social administrative and clinical pharmacy";2010
72;"biostatistics";2011
95;"child psychology";2011
107;"economics";2009
152;"rehabilitation science";2012
190;"french";2013
174;"family social science";2013
223;"hispanic and luso literatures cultures and linguistics";2014
283;"educational policy and administration";2011
149;"conservation biology";2009
222;"pharmaceutics";2012
152;"educational policy and administration";2011
242;"educational psychology";2010
168;"chemical engineering";2008
134;"business administration";2009
95;"electrical engineering";2014
60;"mathematics";2012
105;"teaching and learning";2011
155;"neuroscience";2009
129;"aerospace engineering and mechanics";2010
126;"chemistry";2011
155;"plant biological sciences";2010
174;"civil engineering";2011
213;"biochemistry molecular biology and biophysics";2009
199;"educational policy and administration";2009
94;"family social science";2013
203;"experimental and clinical pharmacology";2011
181;"education curriculum and instruction";2009
111;"veterinary medicine";2010
157;"educational policy and administration";2012
269;"educational policy and administration";2012
184;"comparative studies in discourse and society";2013
98;"comparative and molecular biosciences";2010
119;"educational psychology";2013
166;"plant pathology";2013
174;"educational policy and administration";2013
235;"work and human resource education";2010
62;"economics";2009
96;"chemistry";2013
227;"history of science technology and medicine";2010
214;"neuroscience";2010
162;"chemistry";2011
157;"conservation biology";2010
382;"mass communication";2009
131;"economics";2009
100;"neuroscience";2011
215;"rhetoric and scientific and technical communication";2009
261;"educational policy and administration";2010
116;"environmental health";2012
130;"educational psychology";2013
173;"health services research policy and administration";2009
207;"english";2013
134;"physics";2013
115;"mass communication";2011
202;"natural resources science and management";2009
251;"organizational leadership policy and development";2014
197;"geography";2010
204;"kinesiology";2014
133;"environmental health";2013
122;"educational policy and administration";2012
166;"work and human resource education";2009
74;"physics";2012
154;"microbiology immunology and cancer biology";2012
76;"neuroscience";2010
138;"neuroscience";2013
219;"music";2010
192;"comparative and molecular biosciences";2013
135;"chemistry";2012
238;"computer science";2012
296;"computer science";2010
112;"kinesiology";2011
164;"molecular cellular developmental biology and genetics";2008
281;"biomedical engineering";2012
618;"rhetoric and scientific and technical communication";2010
71;"electrical engineering";2010
128;"educational psychology";2011
252;"chemistry";2011
233;"psychology";2013
320;"social work";2013
120;"computer science";2009
103;"plant biological sciences";2012
367;"chemistry";2010
213;"psychology";2011
120;"educational psychology";2012
145;"psychology";2010
147;"veterinary medicine";2013
244;"entomology";2009
120;"educational policy and administration";2012
169;"applied economics";2012
97;"animal sciences";2013
89;"psychology";2013
129;"electrical engineering";2009
219;"computer science";2012
176;"social work";2009
214;"sociology";2013
184;"chemistry";2010
98;"computer science";2013
154;"computer science";2011
178;"chemical engineering";2012
150;"conservation biology";2013
93;"health services research policy and administration";2011
106;"electrical engineering";2013
230;"political science";2013
155;"natural resources science and management";2014
165;"chemical engineering";2009
140;"business administration";2013
253;"psychology";2011
115;"mathematics";2013
149;"biomedical engineering";2012
203;"biomedical engineering";2011
126;"natural resources science and management";2010
149;"mechanical engineering";2011
156;"education curriculum and instruction";2010
107;"nursing";2013
143;"psychology";2010
164;"mathematics";2012
285;"chemistry";2011
45;"mathematics";2012
103;"work and human resource education";2010
235;"computer science";2011
107;"physics";2012
176;"philosophy";2012
312;"education curriculum and instruction";2012
139;"social work";2013
223;"mechanical engineering";2009
234;"mass communication";2010
162;"geology";2008
273;"history";2009
168;"educational policy and administration";2009
150;"agricultural and applied economics";2011
484;"hispanic and luso-brazilian literatures and linguistics";2008
216;"geography";2008
345;"american studies";2011
226;"chemistry";2013
177;"educational policy and administration";2009
66;"economics";2010
223;"economics";2012
205;"kinesiology";2013
158;"educational psychology";2009
124;"educational policy and administration";2013
150;"social work";2012
261;"educational policy and administration";2008
247;"english";2011
205;"mechanical engineering";2009
419;"psychology";2013
199;"educational psychology";2008
125;"ecology evolution and behavior";2010
136;"economics";2009
202;"applied plant sciences";2012
126;"educational policy and administration";2009
108;"computer science";2009
217;"civil engineering";2011
113;"aerospace engineering and mechanics";2008
239;"chemical engineering";2009
107;"mechanical engineering";2009
273;"chemistry";2009
282;"nutrition";2012
85;"educational psychology";2009
127;"communication studies";2009
123;"physics";2011
130;"microbiology immunology and cancer biology";2013
79;"family social science";2009
146;"microbiology immunology and cancer biology";2013
229;"history of science technology and medicine";2013
99;"economics";2010
65;"economics";2009
160;"work and human resource education";2014
152;"sociology";2011
231;"history";2009
180;"organizational leadership policy and development";2013
516;"sociology";2011
254;"water resources science";2012
88;"molecular cellular developmental biology and genetics";2011
306;"work and human resource education";2013
92;"economics";2010
167;"economics";2010
107;"biomedical engineering";2013
373;"history";2013
148;"physics";2012
107;"electrical engineering";2013
106;"design";2012
119;"electrical engineering";2013
291;"history";2009
75;"scientific computation";2012
60;"applied economics";2011
215;"health services research policy and administration";2013
130;"statistics";2012
61;"electrical engineering";2013
127;"computer science";2012
154;"educational psychology";2011
147;"family social science";2010
177;"material science and engineering";2011
165;"material science and engineering";2012
202;"animal sciences";2013
199;"psychology";2009
239;"mechanical engineering";2011
110;"molecular cellular developmental biology and genetics";2010
164;"educational policy and administration";2013
89;"oral biology";2012
196;"chemical engineering";2009
153;"business administration";2009
93;"design";2013
164;"epidemiology";2013
191;"biomedical engineering";2013
363;"chemistry";2013
188;"education work/community/family education";2011
136;"civil engineering";2007
172;"electrical engineering";2012
109;"physics";2009
118;"mechanical engineering";2007
115;"electrical engineering";2008
175;"computer science";2012
221;"mechanical engineering";2013
474;"french";2011
242;"educational policy and administration";2013
169;"epidemiology";2012
156;"educational policy and administration";2009
103;"geology";2012
262;"mechanical engineering";2010
388;"hispanic and luso-brazilian literatures and linguistics";2011
155;"ecology evolution and behavior";2011
156;"education work/community/family education";2010
135;"conservation biology";2013
324;"american studies";2008
110;"work and human resource education";2013
163;"material science and engineering";2011
383;"environmental health";2008
88;"psychology";2011
110;"economics";2009
167;"natural resources science and management";2010
118;"economics";2013
130;"biochemistry molecular biology and biophysics";2009
77;"neuroscience";2010
219;"molecular cellular developmental biology and genetics";2013
178;"social work";2010
346;"music";2013
275;"comparative literature";2010
277;"comparative studies in discourse and society";2013
177;"nursing";2009
232;"education curriculum and instruction";2012
114;"education work/community/family education";2010
196;"education curriculum and instruction";2008
167;"philosophy";2011
146;"physics";2010
210;"microbiology immunology and cancer biology";2009
148;"natural resources science and management";2010
92;"teaching and learning";2013
81;"mathematics";2008
298;"hispanic and luso-brazilian literatures and linguistics";2009
268;"geography";2012
177;"conservation biology";2012
174;"electrical engineering";2013
96;"biomedical engineering";2011
99;"psychology";2008
192;"epidemiology";2012
153;"chemical engineering";2009
190;"microbiology immunology and cancer biology";2010
82;"neuroscience";2011
81;"psychology";2010
176;"educational psychology";2013
142;"chemical engineering";2012
87;"business administration";2011
163;"geography";2009
106;"plant biological sciences";2011
163;"plant biological sciences";2012
150;"educational psychology";2013
143;"civil engineering";2009
447;"biomedical engineering";2012
73;"economics";2009
76;"health informatics";2013
201;"mechanical engineering";2010
132;"kinesiology";2009
145;"philosophy";2013
293;"comparative literature";2011
92;"mathematics";2009
217;"mass communication";2012
98;"educational psychology";2011
106;"educational psychology";2013
117;"physics";2011
215;"chemical engineering";2009
240;"hispanic and luso-brazilian literatures and linguistics";2008
104;"plant pathology";2011
124;"economics";2010
133;"educational psychology";2012
36;"mathematics";2010
166;"education curriculum and instruction";2009
91;"biostatistics";2009
135;"agricultural and applied economics";2011
101;"electrical engineering";2008
158;"geology";2008
178;"educational psychology";2009
226;"animal sciences";2013
155;"educational psychology";2012
101;"educational psychology";2010
155;"health services research policy and administration";2012
68;"economics";2009
46;"economics";2011
140;"educational policy and administration";2012
158;"english";2009
164;"aerospace engineering and mechanics";2012
171;"medicinal chemistry";2012
193;"computer science";2011
183;"astrophysics";2009
108;"natural resources science and management";2014
195;"geology";2010
159;"civil engineering";2012
127;"veterinary medicine";2011
192;"mechanical engineering";2013
219;"physics";2014
267;"work community and family education";2009
376;"health informatics";2011
165;"mechanical engineering";2014
240;"material science and engineering";2012
269;"educational policy and administration";2013
235;"rhetoric and scientific and technical communication";2012
94;"physics";2009
139;"biochemistry molecular biology and biophysics";2009
112;"mathematics";2013
104;"conservation biology";2013
89;"neuroscience";2010
259;"chemical engineering";2010
345;"entomology";2014
185;"oral biology";2013
136;"plant biological sciences";2011
152;"mechanical engineering";2013
123;"computer science";2012
253;"education curriculum and instruction";2007
270;"education curriculum and instruction";2013
227;"education curriculum and instruction";2013
184;"communication studies";2013
139;"biochemistry molecular biology and biophysics";2013
153;"civil engineering";2010
173;"geophysics";2011
109;"nutrition";2012
126;"chemistry";2009
186;"water resources science";2012
197;"chemical engineering";2010
168;"chemistry";2012
121;"chemical engineering";2009
180;"civil engineering";2012
276;"comparative studies in discourse and society";2013
144;"chemical engineering";2009
263;"geology";2014
134;"biochemistry molecular biology and biophysics";2010
135;"chemical engineering";2013
154;"chemical engineering";2013
336;"sociology";2010
119;"mechanical engineering";2013
231;"geography";2010
116;"computer science";2010
134;"educational psychology";2012
107;"political science";2009
180;"aerospace engineering and mechanics";2009
259;"education curriculum and instruction";2010
139;"mass communication";2013
203;"molecular cellular developmental biology and genetics";2013
86;"mathematics";2011
142;"child psychology";2010
163;"work and human resource education";2010
145;"child psychology";2012
292;"theatre arts";2013
175;"applied plant sciences";2009
21;"music";2010
79;"economics";2013
100;"civil engineering";2012
108;"pharmacology";2013
46;"mechanical engineering";2011
138;"mechanical engineering";2013
134;"applied economics";2013
86;"mathematics";2009
189;"food science";2012
94;"nursing";2012
161;"education curriculum and instruction";2013
139;"pharmacology";2009
151;"sociology";2013
235;"chemical engineering";2010
344;"history";2009
80;"speech-language-hearing sciences";2013
67;"psychology";2011
742;"social work";2012
148;"education work/community/family education";2014
170;"mathematics";2009
187;"biomedical engineering";2012
340;"english";2013
156;"ecology evolution and behavior";2011
264;"music";2011
138;"civil engineering";2013
95;"business administration";2013
291;"educational policy and administration";2013
239;"chemical engineering";2013
469;"history";2010
301;"rhetoric and scientific and technical communication";2011
90;"epidemiology";2011
319;"hispanic and luso-brazilian literatures and linguistics";2011
137;"educational psychology";2009
177;"chemistry";2013
152;"computer science";2008
203;"conservation biology";2012
162;"political science";2011
105;"microbiology immunology and cancer biology";2013
129;"neuroscience";2012
177;"civil engineering";2009
267;"history";2014
142;"mechanical engineering";2008
193;"mechanical engineering";2012
445;"biochemistry molecular biology and biophysics";2011
135;"aerospace engineering and mechanics";2012
175;"molecular cellular developmental biology and genetics";2013
243;"food science";2010
117;"educational psychology";2009
111;"computer science";2012
165;"applied economics";2011
333;"business administration";2012
230;"education curriculum and instruction";2013
412;"political science";2013
88;"educational policy and administration";2013
248;"rhetoric and scientific and technical communication";2013
79;"business administration";2012
196;"chemistry";2013
171;"educational policy and administration";2009
147;"mechanical engineering";2008
351;"chemistry";2014
79;"family social science";2008
157;"education curriculum and instruction";2011
357;"history";2008
111;"chemical engineering";2013
83;"child psychology";2011
93;"psychology";2012
194;"chemistry";2013
240;"music";2013
171;"chemistry";2011
262;"sociology";2009
121;"pharmacology";2010
51;"music";2012
256;"aerospace engineering and mechanics";2012
196;"rhetoric and scientific and technical communication";2010
187;"pharmacology";2013
174;"geography";2011
157;"family social science";2009
158;"social and administrative pharmacy";2013
213;"germanic studies";2012
436;"political science";2008
159;"psychology";2013
74;"economics";2009
171;"education rec/park/leisure studies";2009
291;"theatre arts";2011
176;"entomology";2009
203;"educational psychology";2012
174;"molecular cellular developmental biology and genetics";2009
94;"electrical engineering";2012
83;"civil engineering";2011
156;"electrical engineering";2010
230;"chemistry";2009
238;"chemistry";2014
54;"economics";2011
166;"electrical engineering";2013
303;"education curriculum and instruction";2012
213;"nutrition";2011
178;"business administration";2013
64;"statistics";2009
110;"electrical engineering";2012
221;"mass communication";2011
97;"biosystems and agricultural engineering";2009
166;"plant biological sciences";2009
121;"mathematics";2012
164;"computer science";2011
95;"geophysics";2013
60;"mathematics";2012
225;"pharmaceutics";2011
150;"biomedical engineering";2011
182;"chemistry";2011
63;"mathematics";2012
93;"human resources and industrial relations";2010
184;"mechanical engineering";2014
162;"statistics";2012
183;"political science";2013
205;"veterinary medicine";2009
98;"organizational leadership policy and development";2014
242;"education curriculum and instruction";2013
134;"educational policy and administration";2010
126;"kinesiology";2010
146;"kinesiology";2011
222;"astrophysics";2012
166;"chemical engineering";2010
35;"music";2012
392;"theatre arts";2009
369;"educational policy and administration";2010
202;"molecular cellular developmental biology and genetics";2013
228;"american studies";2011
284;"education curriculum and instruction";2010
156;"veterinary medicine";2009
175;"biochemistry molecular biology and biophysics";2014
102;"molecular cellular developmental biology and genetics";2013
124;"veterinary medicine";2011
124;"veterinary medicine";2011
60;"psychology";2013
217;"english";2011
218;"feminist studies";2010
180;"communication studies";2011
120;"biostatistics";2009
95;"health informatics";2012
86;"statistics";2010
126;"electrical engineering";2013
114;"electrical engineering";2007
163;"biomedical engineering";2013
106;"mechanical engineering";2014
199;"rhetoric and scientific and technical communication";2014
192;"electrical engineering";2011
335;"history";2011
211;"astrophysics";2010
201;"english";2009
158;"educational policy and administration";2008
112;"epidemiology";2010
137;"education curriculum and instruction";2013
135;"agricultural and applied economics";2009
124;"education curriculum and instruction";2009
230;"chemistry";2011
219;"rhetoric and scientific and technical communication";2010
117;"educational policy and administration";2011
163;"educational policy and administration";2012
342;"education curriculum and instruction";2009
195;"communication studies";2010
202;"physics";2013
147;"applied economics";2012
190;"biochemistry molecular biology and biophysics";2009
594;"computer science";2014
205;"nursing";2009
114;"child psychology";2010
252;"medicinal chemistry";2009
133;"applied economics";2013
65;"child psychology";2012
181;"mathematics";2009
190;"plant biological sciences";2011
170;"rehabilitation science";2010
281;"education curriculum and instruction";2010
197;"ecology evolution and behavior";2010
96;"plant biological sciences";2012
111;"geography";2010
205;"educational policy and administration";2013
245;"linguistics";2012
170;"biochemistry molecular biology and biophysics";2009
96;"economics";2013
115;"educational policy and administration";2013
105;"physics";2013
159;"american studies";2013
96;"child psychology";2010
298;"political science";2011
149;"educational policy and administration";2012
90;"civil engineering";2012
147;"educational psychology";2008
254;"mass communication";2009
241;"history";2012
198;"conservation biology";2009
172;"mathematics";2013
363;"educational policy and administration";2010
178;"political science";2014
141;"nutrition";2009
56;"family social science";2009
228;"physics";2010
145;"educational policy and administration";2012
125;"educational psychology";2013
268;"communication studies";2011
374;"art history";2009
163;"sociology";2013
158;"educational policy and administration";2008
144;"speech-language-hearing sciences";2013
185;"kinesiology";2012
165;"microbiology immunology and cancer biology";2009
146;"psychology";2008
128;"chemistry";2011
110;"educational policy and administration";2013
265;"history";2012
155;"teaching and learning";2011
191;"psychology";2011
375;"comparative studies in discourse and society";2013
108;"education curriculum and instruction";2011
237;"work and human resource education";2013
161;"molecular cellular developmental biology and genetics";2010
175;"microbiology immunology and cancer biology";2010
156;"chemistry";2009
283;"communication studies";2012
229;"applied economics";2012
268;"english";2013
197;"hispanic and luso literatures cultures and linguistics";2011
201;"physics";2010
277;"sociology";2012
122;"educational policy and administration";2009
170;"ecology evolution and behavior";2010
147;"sociology";2014
105;"aerospace engineering and mechanics";2012
167;"history";2012
137;"physics";2012
144;"pharmacology";2009
112;"mathematics";2013
67;"statistics";2008
208;"natural resources science and management";2011
136;"computer science";2010
61;"mathematics";2012
157;"biosystems and agricultural engineering";2009
117;"biomedical engineering";2010
102;"civil engineering";2010
58;"electrical engineering";2010
199;"civil engineering";2010
310;"rhetoric and scientific and technical communication";2010
149;"health services research policy and administration";2012
156;"economics";2008
214;"material science and engineering";2009
192;"civil engineering";2012
92;"educational psychology";2012
169;"civil engineering";2008
238;"chemistry";2008
271;"material science and engineering";2013
152;"biomedical engineering";2010
114;"statistics";2012
89;"aerospace engineering and mechanics";2010
152;"biomedical engineering";2011
129;"mathematics";2010
176;"teaching and learning";2013
183;"bioproducts/biosystems science engineering and management";2012
102;"health services research policy and administration";2013
119;"educational psychology";2008
156;"educational psychology";2010
72;"statistics";2011
169;"molecular cellular developmental biology and genetics";2009
172;"microbiology immunology and cancer biology";2009
101;"electrical engineering";2011
213;"educational policy and administration";2012
137;"educational psychology";2008
152;"molecular cellular developmental biology and genetics";2013
463;"kinesiology";2010
115;"electrical engineering";2011
68;"music";2013
76;"scientific computation";2012
179;"business administration";2011
225;"work and human resource education";2013
104;"economics";2009
233;"plant biological sciences";2009
229;"history";2010
163;"educational policy and administration";2011
208;"pharmacology";2011
95;"economics";2009
167;"educational psychology";2008
175;"mechanical engineering";2012
168;"food science";2013
101;"statistics";2013
164;"mass communication";2011
268;"biochemistry molecular biology and biophysics";2011
251;"chemistry";2013
221;"pharmacology";2011
162;"educational policy and administration";2012
94;"electrical engineering";2009
169;"chemistry";2010
97;"electrical engineering";2011
141;"work and human resource education";2012
130;"psychology";2009
238;"human resources and industrial relations";2013
41;"kinesiology";2013
185;"applied plant sciences";2013
283;"nutrition";2012
229;"chemistry";2011
100;"electrical engineering";2012
118;"mathematics";2013
74;"mathematics";2011
228;"chemistry";2012
191;"health services research policy and administration";2008
236;"chemistry";2013
72;"economics";2009
88;"electrical engineering";2011
86;"social and administrative pharmacy";2012
245;"educational psychology";2009
98;"family social science";2014
127;"teaching and learning";2013
154;"family social science";2010
116;"electrical engineering";2009
136;"civil engineering";2012
146;"environmental health";2010
258;"social and administrative pharmacy";2013
193;"microbiology immunology and cancer biology";2012
210;"pharmaceutics";2010
373;"civil engineering";2012
128;"pharmacology";2009
262;"business administration";2012
325;"theatre arts";2009
183;"economics";2012
74;"statistics";2009
202;"aerospace engineering and mechanics";2013
143;"electrical engineering";2012
138;"pharmacology";2011
139;"material science and engineering";2010
119;"business administration";2009
168;"oral biology";2009
187;"material science and engineering";2012
248;"food science";2011
225;"chemical engineering";2012
131;"mathematics";2011
201;"chemical engineering";2008
166;"health services research policy and administration";2011
129;"mechanical engineering";2012
168;"chemical engineering";2012
105;"electrical engineering";2008
102;"health informatics";2013
181;"material science and engineering";2012
178;"medicinal chemistry";2009
97;"mathematics";2011
173;"molecular cellular developmental biology and genetics";2010
122;"mathematics";2012
180;"medicinal chemistry";2014
193;"chemical engineering";2013
31;"mathematics";2012
135;"business administration";2013
151;"biostatistics";2013
212;"educational policy and administration";2011
231;"chemistry";2010
167;"nutrition";2013
251;"political science";2011
201;"rehabilitation science";2013
236;"biochemistry molecular biology and biophysics";2013
113;"mathematics";2012
199;"natural resources science and management";2010
173;"aerospace engineering and mechanics";2010
219;"pharmacology";2009
261;"biosystems and agricultural engineering";2013
121;"electrical engineering";2013
145;"mathematics";2011
80;"biostatistics";2012
150;"pharmacology";2011
220;"chemistry";2014
88;"mathematics";2010
194;"medicinal chemistry";2010
199;"electrical engineering";2012
122;"electrical engineering";2012
193;"psychology";2008
141;"social and administrative pharmacy";2011
78;"statistics";2013
83;"mathematics";2012
147;"computer science";2012
116;"plant biological sciences";2010
187;"human resources and industrial relations";2010
300;"communication studies";2013
124;"epidemiology";2013
172;"civil engineering";2010
123;"sociology";2011
98;"biostatistics";2009
102;"mathematics";2013
210;"civil engineering";2013
115;"molecular cellular developmental biology and genetics";2012
274;"water resources science";2012
100;"statistics";2013
61;"applied plant sciences";2012
140;"natural resources science and management";2013
128;"microbiology immunology and cancer biology";2008
110;"family social science";2013
128;"social work";2011
150;"microbiology immunology and cancer biology";2013
